10000
Data; Hora; Tensão; Vácuo; Condensador; Plataforma1; Plataforma2; Plataforma3; Plataforma4;
29/04/2021 ; 07:47:51 ; 119,8 ; 2000,0 ; 18,3 ; 29,6 ; 18,5 ; 19,6 ; NOP ; 
29/04/2021 ; 07:48:01 ; 119,1 ; 1955,5 ; 18,2 ; 29,6 ; 18,5 ; 19,6 ; NOP ; 
29/04/2021 ; 07:48:11 ; 115,5 ; 785,5 ; 18,6 ; 29,6 ; 18,4 ; 19,6 ; NOP ; 
29/04/2021 ; 07:48:21 ; 119,4 ; 844,6 ; 19,0 ; 29,5 ; 18,4 ; 19,6 ; NOP ; 
29/04/2021 ; 07:48:31 ; 115,5 ; 1158,2 ; 19,5 ; 29,5 ; 18,4 ; 19,7 ; NOP ; 
29/04/2021 ; 07:48:41 ; 115,2 ; 839,1 ; 19,8 ; 29,5 ; 18,5 ; 19,8 ; NOP ; 
29/04/2021 ; 07:48:51 ; 114,1 ; 1159,2 ; 20,0 ; 29,5 ; 18,6 ; 19,9 ; NOP ; 
29/04/2021 ; 07:49:01 ; 117,0 ; 805,2 ; 20,2 ; 29,4 ; 18,6 ; 19,9 ; NOP ; 
29/04/2021 ; 07:49:11 ; 115,1 ; 936,9 ; 20,4 ; 29,5 ; 18,7 ; 20,0 ; NOP ; 
29/04/2021 ; 07:49:21 ; 114,2 ; 812,6 ; 20,5 ; 29,5 ; 18,8 ; 20,0 ; NOP ; 
29/04/2021 ; 07:49:31 ; 116,9 ; 764,0 ; 20,6 ; 29,5 ; 18,8 ; 20,1 ; NOP ; 
29/04/2021 ; 07:49:41 ; 115,1 ; 948,7 ; 20,7 ; 29,6 ; 18,9 ; 20,2 ; NOP ; 
